id,Name,GEN_GRAIN,SOIL_GROUP,Soil_Metric,Land_Cover_Type,value,metal,HM_unit,HM_name,PH_07,LOI_07
LEEDS_392f971be18a,Chapel Allerton Composting In The Park,,,Heavy Metals,,0.27,P2O5,w%,Phosphorus,,
LEEDS_392f971be18a,Chapel Allerton Composting In The Park,ARENACEOUS,LIGHT(SILTY) TO MEDIUM(SILTY),Soil Parent,,,,,,,
LEEDS_392f971be18a,Chapel Allerton Composting In The Park,,,Land Cover,Suburban,,,,,,
LEEDS_392f971be18a,Chapel Allerton Composting In The Park,,,Heavy Metals,,22.64,Ni,mg/kg,Nickel,,
LEEDS_392f971be18a,Chapel Allerton Composting In The Park,,,Heavy Metals,,17.76,As,mg/kg,Arsenic,,
LEEDS_392f971be18a,Chapel Allerton Composting In The Park,,,Heavy Metals,,25.83,Cu,mg/kg,Copper,,
LEEDS_392f971be18a,Chapel Allerton Composting In The Park,,,Heavy Metals,,81.5,Pb,mg/kg,Lead,,
LEEDS_392f971be18a,Chapel Allerton Composting In The Park,,,Heavy Metals,,0.79,Se,mg/kg,Selenium,,
LEEDS_392f971be18a,Chapel Allerton Composting In The Park,,,Heavy Metals,,0.45,Cd,mg/kg,Cadmium,,
LEEDS_392f971be18a,Chapel Allerton Composting In The Park,,,Heavy Metals,,250.95,Zr,mg/kg,Zirconium,,
LEEDS_5ae255dcaf6e,The Involve Centre,ARENACEOUS - RUDACEOUS,LIGHT(SANDY) TO MEDIUM(SANDY),Soil Parent,,,,,,,
LEEDS_5ae255dcaf6e,The Involve Centre,,,Land Cover,Suburban,,,,,,
LEEDS_5ae255dcaf6e,The Involve Centre,,,Heavy Metals,,30.26,As,mg/kg,Arsenic,,
LEEDS_5ae255dcaf6e,The Involve Centre,,,Heavy Metals,,0.97,Se,mg/kg,Selenium,,
LEEDS_5ae255dcaf6e,The Involve Centre,,,Heavy Metals,,0.48,Cd,mg/kg,Cadmium,,
LEEDS_5ae255dcaf6e,The Involve Centre,,,Heavy Metals,,113.6,Pb,mg/kg,Lead,,
LEEDS_5ae255dcaf6e,The Involve Centre,,,Heavy Metals,,27.28,Ni,mg/kg,Nickel,,
LEEDS_5ae255dcaf6e,The Involve Centre,,,Heavy Metals,,264.38,Zr,mg/kg,Zirconium,,
LEEDS_5ae255dcaf6e,The Involve Centre,,,Heavy Metals,,50.53,Cu,mg/kg,Copper,,
LEEDS_5ae255dcaf6e,The Involve Centre,,,Heavy Metals,,0.32,P2O5,w%,Phosphorus,,
LEEDS_102d87852220,Friends Of Hunslet Moor,ARENACEOUS - RUDACEOUS,LIGHT(SANDY) TO MEDIUM(SANDY),Soil Parent,,,,,,,
LEEDS_102d87852220,Friends Of Hunslet Moor,,,Heavy Metals,,0.48,Cd,mg/kg,Cadmium,,
LEEDS_102d87852220,Friends Of Hunslet Moor,,,Heavy Metals,,29.13,Ni,mg/kg,Nickel,,
LEEDS_102d87852220,Friends Of Hunslet Moor,,,Heavy Metals,,51.91,Cu,mg/kg,Copper,,
LEEDS_102d87852220,Friends Of Hunslet Moor,,,Heavy Metals,,32.63,As,mg/kg,Arsenic,,
LEEDS_102d87852220,Friends Of Hunslet Moor,,,Heavy Metals,,241.26,Zr,mg/kg,Zirconium,,
LEEDS_102d87852220,Friends Of Hunslet Moor,,,Heavy Metals,,1.0,Se,mg/kg,Selenium,,
LEEDS_102d87852220,Friends Of Hunslet Moor,,,Heavy Metals,,96.67,Pb,mg/kg,Lead,,
LEEDS_102d87852220,Friends Of Hunslet Moor,,,Land Cover,Suburban,,,,,,
LEEDS_102d87852220,Friends Of Hunslet Moor,,,Heavy Metals,,0.32,P2O5,w%,Phosphorus,,
LEEDS_b12fb584bf6f,The Welcome In,,,Heavy Metals,,0.71,Se,mg/kg,Selenium,,
LEEDS_b12fb584bf6f,The Welcome In,,,Heavy Metals,,17.15,Ni,mg/kg,Nickel,,
LEEDS_b12fb584bf6f,The Welcome In,,,Heavy Metals,,0.69,Cd,mg/kg,Cadmium,,
LEEDS_b12fb584bf6f,The Welcome In,,,Heavy Metals,,12.7,As,mg/kg,Arsenic,,
LEEDS_b12fb584bf6f,The Welcome In,,,Heavy Metals,,0.34,P2O5,w%,Phosphorus,,
LEEDS_b12fb584bf6f,The Welcome In,,,Heavy Metals,,22.06,Cu,mg/kg,Copper,,
LEEDS_b12fb584bf6f,The Welcome In,ARENACEOUS,LIGHT(SILTY) TO MEDIUM(SILTY) TO HEAVY,Soil Parent,,,,,,,
LEEDS_b12fb584bf6f,The Welcome In,,,Heavy Metals,,312.58,Zr,mg/kg,Zirconium,,
LEEDS_b12fb584bf6f,The Welcome In,,,Heavy Metals,,72.65,Pb,mg/kg,Lead,,
LEEDS_b12fb584bf6f,The Welcome In,,,Land Cover,Suburban,,,,,,
LEEDS_a1254fcf6232,Garforth,,,Land Cover,Suburban,,,,,,
LEEDS_a1254fcf6232,Garforth,,,Heavy Metals,,23.13,Cu,mg/kg,Copper,,
LEEDS_a1254fcf6232,Garforth,,,Heavy Metals,,0.19,P2O5,w%,Phosphorus,,
LEEDS_a1254fcf6232,Garforth,,,Heavy Metals,,66.42,Pb,mg/kg,Lead,,
LEEDS_a1254fcf6232,Garforth,,,Heavy Metals,,26.82,Ni,mg/kg,Nickel,,
LEEDS_a1254fcf6232,Garforth,,,Heavy Metals,,0.5,Cd,mg/kg,Cadmium,,
LEEDS_a1254fcf6232,Garforth,,,Heavy Metals,,16.72,As,mg/kg,Arsenic,,
LEEDS_a1254fcf6232,Garforth,ARGILLIC - ARENACEOUS,MEDIUM TO HEAVY,Soil Parent,,,,,,,
LEEDS_a1254fcf6232,Garforth,,,Heavy Metals,,0.65,Se,mg/kg,Selenium,,
LEEDS_a1254fcf6232,Garforth,,,Heavy Metals,,298.82,Zr,mg/kg,Zirconium,,
LEEDS_22b768c6898f,Horsforth Inspirations,,,Soil pH,,,,,,6.07,
LEEDS_22b768c6898f,Horsforth Inspirations,,,Soil SOM,,,,,,,8.19
LEEDS_22b768c6898f,Horsforth Inspirations,,,Land Cover,Suburban,,,,,,
LEEDS_22b768c6898f,Horsforth Inspirations,,,Heavy Metals,,0.88,Se,mg/kg,Selenium,,
LEEDS_22b768c6898f,Horsforth Inspirations,,,Heavy Metals,,94.61,Pb,mg/kg,Lead,,
LEEDS_22b768c6898f,Horsforth Inspirations,,,Heavy Metals,,15.42,As,mg/kg,Arsenic,,
LEEDS_22b768c6898f,Horsforth Inspirations,,,Heavy Metals,,0.33,P2O5,w%,Phosphorus,,
LEEDS_22b768c6898f,Horsforth Inspirations,,,Heavy Metals,,43.52,Cu,mg/kg,Copper,,
LEEDS_22b768c6898f,Horsforth Inspirations,,,Heavy Metals,,0.53,Cd,mg/kg,Cadmium,,
LEEDS_22b768c6898f,Horsforth Inspirations,,,Heavy Metals,,21.68,Ni,mg/kg,Nickel,,
LEEDS_22b768c6898f,Horsforth Inspirations,,,Heavy Metals,,323.25,Zr,mg/kg,Zirconium,,
LEEDS_22b768c6898f,Horsforth Inspirations,ARGILLIC - ARENACEOUS,MEDIUM TO HEAVY,Soil Parent,,,,,,,
LEEDS_7a10495ceff8,Horsforth Drury Field,,,Heavy Metals,,49.53,Cu,mg/kg,Copper,,
LEEDS_7a10495ceff8,Horsforth Drury Field,,,Heavy Metals,,92.41,Pb,mg/kg,Lead,,
LEEDS_7a10495ceff8,Horsforth Drury Field,,,Heavy Metals,,0.44,Cd,mg/kg,Cadmium,,
LEEDS_7a10495ceff8,Horsforth Drury Field,,,Heavy Metals,,0.28,P2O5,w%,Phosphorus,,
LEEDS_7a10495ceff8,Horsforth Drury Field,,,Heavy Metals,,0.87,Se,mg/kg,Selenium,,
LEEDS_7a10495ceff8,Horsforth Drury Field,,,Heavy Metals,,340.87,Zr,mg/kg,Zirconium,,
LEEDS_7a10495ceff8,Horsforth Drury Field,,,Heavy Metals,,24.79,Ni,mg/kg,Nickel,,
LEEDS_7a10495ceff8,Horsforth Drury Field,,,Heavy Metals,,17.98,As,mg/kg,Arsenic,,
LEEDS_7a10495ceff8,Horsforth Drury Field,,,Land Cover,Suburban,,,,,,
LEEDS_7a10495ceff8,Horsforth Drury Field,MIXED (ARGILLIC-RUDACEOUS),MEDIUM TO LIGHT(SILTY) TO HEAVY,Soil Parent,,,,,,,
LEEDS_5704ae758992,Chapeltown,,,Heavy Metals,,0.8,Se,mg/kg,Selenium,,
LEEDS_5704ae758992,Chapeltown,,,Heavy Metals,,20.92,As,mg/kg,Arsenic,,
LEEDS_5704ae758992,Chapeltown,,,Heavy Metals,,23.63,Ni,mg/kg,Nickel,,
LEEDS_5704ae758992,Chapeltown,,,Heavy Metals,,252.72,Zr,mg/kg,Zirconium,,
LEEDS_5704ae758992,Chapeltown,,,Heavy Metals,,0.28,P2O5,w%,Phosphorus,,
LEEDS_5704ae758992,Chapeltown,,,Heavy Metals,,0.39,Cd,mg/kg,Cadmium,,
LEEDS_5704ae758992,Chapeltown,,,Heavy Metals,,78.99,Pb,mg/kg,Lead,,
LEEDS_5704ae758992,Chapeltown,,,Heavy Metals,,31.87,Cu,mg/kg,Copper,,
LEEDS_5704ae758992,Chapeltown,,,Land Cover,Suburban,,,,,,
LEEDS_5704ae758992,Chapeltown,ARGILLIC - ARENACEOUS,MEDIUM TO HEAVY,Soil Parent,,,,,,,
LEEDS_363f3e05eca7,Armley Charlie Cake Park,,,Land Cover,Urban,,,,,,
LEEDS_363f3e05eca7,Armley Charlie Cake Park,ARENACEOUS,LIGHT(SILTY) TO MEDIUM(SILTY),Soil Parent,,,,,,,
LEEDS_363f3e05eca7,Armley Charlie Cake Park,,,Heavy Metals,,57.26,Cu,mg/kg,Copper,,
LEEDS_363f3e05eca7,Armley Charlie Cake Park,,,Heavy Metals,,0.32,P2O5,w%,Phosphorus,,
LEEDS_363f3e05eca7,Armley Charlie Cake Park,,,Heavy Metals,,0.51,Cd,mg/kg,Cadmium,,
LEEDS_363f3e05eca7,Armley Charlie Cake Park,,,Heavy Metals,,281.41,Zr,mg/kg,Zirconium,,
LEEDS_363f3e05eca7,Armley Charlie Cake Park,,,Heavy Metals,,1.08,Se,mg/kg,Selenium,,
LEEDS_363f3e05eca7,Armley Charlie Cake Park,,,Heavy Metals,,111.68,Pb,mg/kg,Lead,,
LEEDS_363f3e05eca7,Armley Charlie Cake Park,,,Heavy Metals,,26.54,As,mg/kg,Arsenic,,
LEEDS_363f3e05eca7,Armley Charlie Cake Park,,,Heavy Metals,,27.34,Ni,mg/kg,Nickel,,
LEEDS_77f8cf6bc9ea,Armley Yum Community Pantry And Fridge,,,Land Cover,Urban,,,,,,
LEEDS_77f8cf6bc9ea,Armley Yum Community Pantry And Fridge,,,Heavy Metals,,68.09,Cu,mg/kg,Copper,,
LEEDS_77f8cf6bc9ea,Armley Yum Community Pantry And Fridge,,,Heavy Metals,,0.33,P2O5,w%,Phosphorus,,
LEEDS_77f8cf6bc9ea,Armley Yum Community Pantry And Fridge,,,Heavy Metals,,128.17,Pb,mg/kg,Lead,,
LEEDS_77f8cf6bc9ea,Armley Yum Community Pantry And Fridge,,,Heavy Metals,,31.53,Ni,mg/kg,Nickel,,
LEEDS_77f8cf6bc9ea,Armley Yum Community Pantry And Fridge,,,Heavy Metals,,31.55,As,mg/kg,Arsenic,,
LEEDS_77f8cf6bc9ea,Armley Yum Community Pantry And Fridge,,,Heavy Metals,,1.06,Se,mg/kg,Selenium,,
LEEDS_77f8cf6bc9ea,Armley Yum Community Pantry And Fridge,,,Heavy Metals,,0.54,Cd,mg/kg,Cadmium,,
LEEDS_77f8cf6bc9ea,Armley Yum Community Pantry And Fridge,,,Heavy Metals,,262.76,Zr,mg/kg,Zirconium,,
LEEDS_77f8cf6bc9ea,Armley Yum Community Pantry And Fridge,ARGILLIC - ARENACEOUS,MEDIUM TO HEAVY,Soil Parent,,,,,,,
LEEDS_d94b0e275010,Cottingley X,,,Heavy Metals,,50.87,As,mg/kg,Arsenic,,
LEEDS_d94b0e275010,Cottingley X,,,Heavy Metals,,34.18,Ni,mg/kg,Nickel,,
LEEDS_d94b0e275010,Cottingley X,,,Land Cover,Suburban,,,,,,
LEEDS_d94b0e275010,Cottingley X,,,Heavy Metals,,212.04,Zr,mg/kg,Zirconium,,
LEEDS_d94b0e275010,Cottingley X,,,Heavy Metals,,0.36,P2O5,w%,Phosphorus,,
LEEDS_d94b0e275010,Cottingley X,,,Heavy Metals,,67.13,Cu,mg/kg,Copper,,
LEEDS_d94b0e275010,Cottingley X,,,Heavy Metals,,123.0,Pb,mg/kg,Lead,,
LEEDS_d94b0e275010,Cottingley X,,,Heavy Metals,,1.01,Se,mg/kg,Selenium,,
LEEDS_d94b0e275010,Cottingley X,,,Heavy Metals,,0.58,Cd,mg/kg,Cadmium,,
LEEDS_d94b0e275010,Cottingley X,ARGILLIC - ARENACEOUS,MEDIUM TO HEAVY,Soil Parent,,,,,,,
LEEDS_4af95d6d4700,Broadlea,,,Heavy Metals,,43.17,Cu,mg/kg,Copper,,
LEEDS_4af95d6d4700,Broadlea,,,Heavy Metals,,31.36,Ni,mg/kg,Nickel,,
LEEDS_4af95d6d4700,Broadlea,,,Heavy Metals,,24.9,As,mg/kg,Arsenic,,
LEEDS_4af95d6d4700,Broadlea,,,Heavy Metals,,0.3,P2O5,w%,Phosphorus,,
LEEDS_4af95d6d4700,Broadlea,,,Heavy Metals,,94.6,Pb,mg/kg,Lead,,
LEEDS_4af95d6d4700,Broadlea,,,Heavy Metals,,319.62,Zr,mg/kg,Zirconium,,
LEEDS_4af95d6d4700,Broadlea,,,Heavy Metals,,1.09,Se,mg/kg,Selenium,,
LEEDS_4af95d6d4700,Broadlea,,,Heavy Metals,,0.46,Cd,mg/kg,Cadmium,,
LEEDS_4af95d6d4700,Broadlea,,,Land Cover,Suburban,,,,,,
LEEDS_4af95d6d4700,Broadlea,ARENACEOUS,LIGHT(SILTY) TO MEDIUM(SILTY),Soil Parent,,,,,,,
LEEDS_b21cffa0ee34,Wortley Towers,,,Heavy Metals,,0.97,Se,mg/kg,Selenium,,
LEEDS_b21cffa0ee34,Wortley Towers,,,Heavy Metals,,33.95,As,mg/kg,Arsenic,,
LEEDS_b21cffa0ee34,Wortley Towers,,,Heavy Metals,,0.48,Cd,mg/kg,Cadmium,,
LEEDS_b21cffa0ee34,Wortley Towers,,,Heavy Metals,,27.22,Ni,mg/kg,Nickel,,
LEEDS_b21cffa0ee34,Wortley Towers,,,Heavy Metals,,248.99,Zr,mg/kg,Zirconium,,
LEEDS_b21cffa0ee34,Wortley Towers,,,Heavy Metals,,0.3,P2O5,w%,Phosphorus,,
LEEDS_b21cffa0ee34,Wortley Towers,,,Heavy Metals,,126.15,Pb,mg/kg,Lead,,
LEEDS_b21cffa0ee34,Wortley Towers,,,Heavy Metals,,62.96,Cu,mg/kg,Copper,,
LEEDS_b21cffa0ee34,Wortley Towers,,,Land Cover,Suburban,,,,,,
LEEDS_b21cffa0ee34,Wortley Towers,ARENACEOUS,LIGHT(SILTY) TO MEDIUM(SILTY),Soil Parent,,,,,,,
LEEDS_721968216bc1,High Royds Hospital Menston,MIXED (ARGILLIC-RUDACEOUS),MEDIUM TO LIGHT(SILTY) TO HEAVY,Soil Parent,,,,,,,
LEEDS_721968216bc1,High Royds Hospital Menston,,,Land Cover,Suburban,,,,,,
LEEDS_721968216bc1,High Royds Hospital Menston,,,Heavy Metals,,13.76,As,mg/kg,Arsenic,,
LEEDS_721968216bc1,High Royds Hospital Menston,,,Heavy Metals,,240.88,Zr,mg/kg,Zirconium,,
LEEDS_721968216bc1,High Royds Hospital Menston,,,Heavy Metals,,72.7,Pb,mg/kg,Lead,,
LEEDS_721968216bc1,High Royds Hospital Menston,,,Heavy Metals,,1.1,Se,mg/kg,Selenium,,
LEEDS_721968216bc1,High Royds Hospital Menston,,,Heavy Metals,,23.77,Ni,mg/kg,Nickel,,
LEEDS_721968216bc1,High Royds Hospital Menston,,,Heavy Metals,,23.04,Cu,mg/kg,Copper,,
LEEDS_721968216bc1,High Royds Hospital Menston,,,Heavy Metals,,0.23,P2O5,w%,Phosphorus,,
LEEDS_721968216bc1,High Royds Hospital Menston,,,Heavy Metals,,0.55,Cd,mg/kg,Cadmium,,
LEEDS_cbdb25442180,Broadfields Horsforth,,,Land Cover,Suburban,,,,,,
LEEDS_cbdb25442180,Broadfields Horsforth,,,Heavy Metals,,0.64,Cd,mg/kg,Cadmium,,
LEEDS_cbdb25442180,Broadfields Horsforth,,,Heavy Metals,,0.36,P2O5,w%,Phosphorus,,
LEEDS_cbdb25442180,Broadfields Horsforth,,,Heavy Metals,,30.42,Cu,mg/kg,Copper,,
LEEDS_cbdb25442180,Broadfields Horsforth,MIXED (ARGILLIC-RUDACEOUS),MEDIUM TO LIGHT(SILTY) TO HEAVY,Soil Parent,,,,,,,
LEEDS_cbdb25442180,Broadfields Horsforth,,,Heavy Metals,,0.85,Se,mg/kg,Selenium,,
LEEDS_cbdb25442180,Broadfields Horsforth,,,Heavy Metals,,21.6,Ni,mg/kg,Nickel,,
LEEDS_cbdb25442180,Broadfields Horsforth,,,Heavy Metals,,335.26,Zr,mg/kg,Zirconium,,
LEEDS_cbdb25442180,Broadfields Horsforth,,,Heavy Metals,,85.16,Pb,mg/kg,Lead,,
LEEDS_cbdb25442180,Broadfields Horsforth,,,Heavy Metals,,16.75,As,mg/kg,Arsenic,,
LEEDS_a25b774af701,Calverley Lane Picnic Site,,,Land Cover,Urban,,,,,,
LEEDS_a25b774af701,Calverley Lane Picnic Site,,,Heavy Metals,,27.39,Ni,mg/kg,Nickel,,
LEEDS_a25b774af701,Calverley Lane Picnic Site,ARENACEOUS - RUDACEOUS,LIGHT(SANDY) TO MEDIUM(SANDY),Soil Parent,,,,,,,
LEEDS_a25b774af701,Calverley Lane Picnic Site,,,Heavy Metals,,308.39,Zr,mg/kg,Zirconium,,
LEEDS_a25b774af701,Calverley Lane Picnic Site,,,Heavy Metals,,0.33,P2O5,w%,Phosphorus,,
LEEDS_a25b774af701,Calverley Lane Picnic Site,,,Heavy Metals,,94.68,Pb,mg/kg,Lead,,
LEEDS_a25b774af701,Calverley Lane Picnic Site,,,Heavy Metals,,0.89,Se,mg/kg,Selenium,,
LEEDS_a25b774af701,Calverley Lane Picnic Site,,,Heavy Metals,,0.52,Cd,mg/kg,Cadmium,,
LEEDS_a25b774af701,Calverley Lane Picnic Site,,,Heavy Metals,,18.38,As,mg/kg,Arsenic,,
LEEDS_a25b774af701,Calverley Lane Picnic Site,,,Heavy Metals,,47.95,Cu,mg/kg,Copper,,
LEEDS_f8d7302003d1,Dewsbury Road Onestop,,,Heavy Metals,,0.33,P2O5,w%,Phosphorus,,
LEEDS_f8d7302003d1,Dewsbury Road Onestop,,,Heavy Metals,,51.92,Cu,mg/kg,Copper,,
LEEDS_f8d7302003d1,Dewsbury Road Onestop,ARENACEOUS - RUDACEOUS,LIGHT(SANDY) TO MEDIUM(SANDY),Soil Parent,,,,,,,
LEEDS_f8d7302003d1,Dewsbury Road Onestop,,,Heavy Metals,,0.51,Cd,mg/kg,Cadmium,,
LEEDS_f8d7302003d1,Dewsbury Road Onestop,,,Heavy Metals,,1.0,Se,mg/kg,Selenium,,
LEEDS_f8d7302003d1,Dewsbury Road Onestop,,,Heavy Metals,,97.66,Pb,mg/kg,Lead,,
LEEDS_f8d7302003d1,Dewsbury Road Onestop,,,Heavy Metals,,240.01,Zr,mg/kg,Zirconium,,
LEEDS_f8d7302003d1,Dewsbury Road Onestop,,,Heavy Metals,,32.37,As,mg/kg,Arsenic,,
LEEDS_f8d7302003d1,Dewsbury Road Onestop,,,Heavy Metals,,30.24,Ni,mg/kg,Nickel,,
LEEDS_f8d7302003d1,Dewsbury Road Onestop,,,Land Cover,Suburban,,,,,,
LEEDS_1d641a9689ca,Padstow Gardens,,,Soil pH,,,,,,6.07,
LEEDS_1d641a9689ca,Padstow Gardens,,,Soil SOM,,,,,,,8.19
LEEDS_1d641a9689ca,Padstow Gardens,,,Land Cover,Suburban,,,,,,
LEEDS_1d641a9689ca,Padstow Gardens,ARENACEOUS,LIGHT(SILTY) TO MEDIUM(SILTY),Soil Parent,,,,,,,
LEEDS_1d641a9689ca,Padstow Gardens,,,Heavy Metals,,24.22,As,mg/kg,Arsenic,,
LEEDS_1d641a9689ca,Padstow Gardens,,,Heavy Metals,,30.35,Ni,mg/kg,Nickel,,
LEEDS_1d641a9689ca,Padstow Gardens,,,Heavy Metals,,0.61,Cd,mg/kg,Cadmium,,
LEEDS_1d641a9689ca,Padstow Gardens,,,Heavy Metals,,0.36,P2O5,w%,Phosphorus,,
LEEDS_1d641a9689ca,Padstow Gardens,,,Heavy Metals,,114.6,Pb,mg/kg,Lead,,
LEEDS_1d641a9689ca,Padstow Gardens,,,Heavy Metals,,1.08,Se,mg/kg,Selenium,,
LEEDS_1d641a9689ca,Padstow Gardens,,,Heavy Metals,,246.81,Zr,mg/kg,Zirconium,,
LEEDS_1d641a9689ca,Padstow Gardens,,,Heavy Metals,,56.1,Cu,mg/kg,Copper,,
LEEDS_e6dc5b19053d,St Edwards Clifford,,,Soil SOM,,,,,,,10.21
LEEDS_e6dc5b19053d,St Edwards Clifford,,,Soil pH,,,,,,6.07,
LEEDS_e6dc5b19053d,St Edwards Clifford,,,Heavy Metals,,28.44,Cu,mg/kg,Copper,,
LEEDS_e6dc5b19053d,St Edwards Clifford,,,Heavy Metals,,0.21,P2O5,w%,Phosphorus,,
LEEDS_e6dc5b19053d,St Edwards Clifford,,,Heavy Metals,,0.59,Se,mg/kg,Selenium,,
LEEDS_e6dc5b19053d,St Edwards Clifford,,,Heavy Metals,,0.71,Cd,mg/kg,Cadmium,,
LEEDS_e6dc5b19053d,St Edwards Clifford,,,Heavy Metals,,12.39,As,mg/kg,Arsenic,,
LEEDS_e6dc5b19053d,St Edwards Clifford,,,Heavy Metals,,238.17,Zr,mg/kg,Zirconium,,
LEEDS_e6dc5b19053d,St Edwards Clifford,,,Heavy Metals,,79.17,Pb,mg/kg,Lead,,
LEEDS_e6dc5b19053d,St Edwards Clifford,,,Heavy Metals,,26.11,Ni,mg/kg,Nickel,,
LEEDS_e6dc5b19053d,St Edwards Clifford,,,Land Cover,Suburban,,,,,,
LEEDS_e6dc5b19053d,St Edwards Clifford,ARGILLIC - ARENACEOUS,LIGHT(SILTY) TO MEDIUM(SILTY),Soil Parent,,,,,,,
LEEDS_9db1f75d5de6,Dartmouth Park Morley,ARENACEOUS,MEDIUM TO HEAVY,Soil Parent,,,,,,,
LEEDS_9db1f75d5de6,Dartmouth Park Morley,,,Heavy Metals,,313.52,Zr,mg/kg,Zirconium,,
LEEDS_9db1f75d5de6,Dartmouth Park Morley,,,Heavy Metals,,0.48,Cd,mg/kg,Cadmium,,
LEEDS_9db1f75d5de6,Dartmouth Park Morley,,,Land Cover,Suburban,,,,,,
LEEDS_9db1f75d5de6,Dartmouth Park Morley,,,Heavy Metals,,43.73,Cu,mg/kg,Copper,,
LEEDS_9db1f75d5de6,Dartmouth Park Morley,,,Heavy Metals,,14.7,As,mg/kg,Arsenic,,
LEEDS_9db1f75d5de6,Dartmouth Park Morley,,,Heavy Metals,,27.07,Ni,mg/kg,Nickel,,
LEEDS_9db1f75d5de6,Dartmouth Park Morley,,,Heavy Metals,,0.9,Se,mg/kg,Selenium,,
LEEDS_9db1f75d5de6,Dartmouth Park Morley,,,Heavy Metals,,58.31,Pb,mg/kg,Lead,,
LEEDS_9db1f75d5de6,Dartmouth Park Morley,,,Heavy Metals,,0.36,P2O5,w%,Phosphorus,,
LEEDS_9db1f75d5de6,Dartmouth Park Morley,,,Soil pH,,,,,,6.07,
LEEDS_9db1f75d5de6,Dartmouth Park Morley,,,Soil SOM,,,,,,,8.19
LEEDS_ab9da901efc9,Denshaw Drive Community Garden,ARENACEOUS,MEDIUM TO HEAVY,Soil Parent,,,,,,,
LEEDS_ab9da901efc9,Denshaw Drive Community Garden,,,Heavy Metals,,0.51,Cd,mg/kg,Cadmium,,
LEEDS_ab9da901efc9,Denshaw Drive Community Garden,,,Heavy Metals,,39.03,As,mg/kg,Arsenic,,
LEEDS_ab9da901efc9,Denshaw Drive Community Garden,,,Heavy Metals,,29.28,Ni,mg/kg,Nickel,,
LEEDS_ab9da901efc9,Denshaw Drive Community Garden,,,Heavy Metals,,301.15,Zr,mg/kg,Zirconium,,
LEEDS_ab9da901efc9,Denshaw Drive Community Garden,,,Heavy Metals,,0.36,P2O5,w%,Phosphorus,,
LEEDS_ab9da901efc9,Denshaw Drive Community Garden,,,Heavy Metals,,75.38,Cu,mg/kg,Copper,,
LEEDS_ab9da901efc9,Denshaw Drive Community Garden,,,Heavy Metals,,131.06,Pb,mg/kg,Lead,,
LEEDS_ab9da901efc9,Denshaw Drive Community Garden,,,Heavy Metals,,0.94,Se,mg/kg,Selenium,,
LEEDS_ab9da901efc9,Denshaw Drive Community Garden,,,Land Cover,Suburban,,,,,,
LEEDS_e53942c2229c,Hesketh Lane Rec Tingley,,,Heavy Metals,,98.43,Pb,mg/kg,Lead,,
LEEDS_e53942c2229c,Hesketh Lane Rec Tingley,,,Heavy Metals,,53.08,Cu,mg/kg,Copper,,
LEEDS_e53942c2229c,Hesketh Lane Rec Tingley,,,Land Cover,Suburban,,,,,,
LEEDS_e53942c2229c,Hesketh Lane Rec Tingley,ARGILLIC - ARENACEOUS,HEAVY TO MEDIUM,Soil Parent,,,,,,,
LEEDS_e53942c2229c,Hesketh Lane Rec Tingley,,,Heavy Metals,,0.92,Se,mg/kg,Selenium,,
LEEDS_e53942c2229c,Hesketh Lane Rec Tingley,,,Heavy Metals,,0.45,Cd,mg/kg,Cadmium,,
LEEDS_e53942c2229c,Hesketh Lane Rec Tingley,,,Heavy Metals,,0.33,P2O5,w%,Phosphorus,,
LEEDS_e53942c2229c,Hesketh Lane Rec Tingley,,,Heavy Metals,,41.68,Ni,mg/kg,Nickel,,
LEEDS_e53942c2229c,Hesketh Lane Rec Tingley,,,Heavy Metals,,41.18,As,mg/kg,Arsenic,,
LEEDS_e53942c2229c,Hesketh Lane Rec Tingley,,,Heavy Metals,,230.11,Zr,mg/kg,Zirconium,,
LEEDS_419d9d8eba4e,Queens Park,ARENACEOUS,LIGHT(SILTY) TO MEDIUM(SILTY),Soil Parent,,,,,,,
LEEDS_419d9d8eba4e,Queens Park,,,Heavy Metals,,0.43,Cd,mg/kg,Cadmium,,
LEEDS_419d9d8eba4e,Queens Park,,,Heavy Metals,,0.32,P2O5,w%,Phosphorus,,
LEEDS_419d9d8eba4e,Queens Park,,,Heavy Metals,,28.3,Ni,mg/kg,Nickel,,
LEEDS_419d9d8eba4e,Queens Park,,,Heavy Metals,,304.07,Zr,mg/kg,Zirconium,,
LEEDS_419d9d8eba4e,Queens Park,,,Heavy Metals,,1.08,Se,mg/kg,Selenium,,
LEEDS_419d9d8eba4e,Queens Park,,,Heavy Metals,,85.68,Pb,mg/kg,Lead,,
LEEDS_419d9d8eba4e,Queens Park,,,Heavy Metals,,36.44,Cu,mg/kg,Copper,,
LEEDS_419d9d8eba4e,Queens Park,,,Heavy Metals,,36.31,As,mg/kg,Arsenic,,
LEEDS_419d9d8eba4e,Queens Park,,,Land Cover,Urban,,,,,,
LEEDS_e32e8a9888e4,Swinnow Moor,MIXED (ARGILLIC-RUDACEOUS),MEDIUM TO LIGHT(SILTY) TO HEAVY,Soil Parent,,,,,,,
LEEDS_e32e8a9888e4,Swinnow Moor,,,Land Cover,Suburban,,,,,,
LEEDS_e32e8a9888e4,Swinnow Moor,,,Heavy Metals,,43.44,Cu,mg/kg,Copper,,
LEEDS_e32e8a9888e4,Swinnow Moor,,,Heavy Metals,,23.66,Ni,mg/kg,Nickel,,
